Time   HR;V'O2;/V'O2;V'CO;2 RER;V'E;BF;VTex FICO;2FIO2 FECO;2FEO2 EE/d;CHO;gFAT g/d
min  1/mi;n(mL/;mmL/m;imL/m;in;L/mi;n1/mi;n   L    %;%    %;% kcal;/g/da;yg/day
0Warmup;;;;;;;;;;;
0Test;;;;;;;;;;;
01.07.40;05.06;367;357;0,067361111;15;24.02.00;4,229224537;20.932.96;17.942.619;540;ｫ-4
01.07.50;05.03;344;330;0,066666667;21;29.04.00;4,87505787;20.931.78;19.142.447;477;5
01.08.00;15.02;989;901;0,063194444;39;24.00.00;4,541724537;1,481527778;17.517.015;1165;184
01.08.10;07.08;507;449;0,061111111;19;14.09;1,840335648;1,481805556;17.153.563;498;114
01.08.20;06.06;429;380;0,061805556;16;17.07;6,263946759;20.932.87;17.823.008;420;89
01.08.30;11.07;758;655;0,059722222;29;26.06.00;0,659780093;1,481608796;17.265.312;674;220
01.08.40;06.00;390;343;0,061111111;16;22.01;4,979224537;20.932.72;17.972.731;362;86
01.08.50;07.08;504;448;0,061805556;17;33.05.00;3,444502315;1,481435185;17.513.542;511;106
01.09.00;07.05;485;431;0,061805556;15;34.07.00;3,00005787;1,481909722;17.053.407;485;103
01.09.10;12.01;789;663;0,058333333;26;33.04.00;5,458391204;20.932.79;17.775.500;589;277
01.09.20;07.06;494;389;0,054861111;13;27.08.00;3,333391204;1,481365741;17.243.389;200;226
01.09.30;11.03;736;563;0,052777778;23;31.05.00;5,06255787;1,481493056;17.005.042;216;393
01.09.40;09.02;597;437;0,050694444;17;18.03;6,444502315;1,481574074;16.774.052;57;358
01.09.50;13.05;880;634;0,05;26;17.06;3,208391204;1,481412037;16.895.973;40;567
01.10.00;08.01;526;386;0,050694444;15;18.03;5,854224537;1,481469907;16.893.570;48;312
01.10.10;07.08;504;375;0,051388889;16;15.07;6,923668981;1,481342593;17.083.428;75;285
01.10.20;07.05;490;368;0,052083333;16;12.02;2,395891204;20.932.88;17.353.336;90;269
01.10.30;07.09;516;405;0,054166667;17;14.04;1,430613426;1,48125;17.343.544;199;243
01.10.40;09.01;590;489;0,057638889;22;28.02.00;5,305613426;1,481273148;17.444.095;390;217
01.10.50;10.09;711;596;0,058333333;26;25.04.00;0,194502315;20.932.97;17.574.952;521;250
01.11.00;12.01;783;682;0,060416667;27;23.05;0,986168981;1,481469907;17.405.501;726;218
01.11.10;12.01;788;686;0,060416667;29;23.01;1,87505787;1,48125;17.645.535;732;218
01.11.20;09.08;634;570;0,0625;25;23.00;0,68755787;20.932.89;17.824.476;684;128
01.11.30;09.08;635;607;0,066666667;27;23.01;1,090335648;20.932.93;17.924.537;907;37
01.11.40;09.09;645;635;0,06875;28;24.05.00;0,909780093;20.932.95;18.004.639;1031;ｫ-7
01.11.50;11.01;719;691;0,066666667;27;27.00.00;0,138946759;20.932.97;17.925.153;1050;39
01.12.00;13.07;893;809;0,063194444;35;27.01.00;2,00005787;1,481284722;17.756.327;1020;175
01.12.10;13.07;889;790;0,061805556;32;25.03.00;2,007002315;1,481365741;17.576.274;921;213
01.12.20;13.06;886;785;0,061805556;33;27.07.00;1,326446759;1,481342593;17.616.246;910;215
01.12.30;15.00;978;902;0,063888889;36;45.05.00;5,451446759;1,481469907;17.606.958;1215;156
01.12.40;12.07;827;798;0,066666667;34;27.06.00;1,757002315;20.932.90;18.005.936;1230;42
01.12.50;14.06;947;920;0,067361111;40;31.06.00;1,861168981;20.932.95;17.966.808;1454;35
01.13.00;15.06;1012;992;0,068055556;37;31.00.00;1,465335648;1,481666667;17.577.293;1608;19
01.13.10;12.08;833;829;0,06875;37;35.04.00;0,263946759;20.932.98;18.006.019;1388;ｫ-18
01.13.20;15.01;984;1011;01.03;39;26.08.00;3,166724537;1,481493056;17.837.166;;
01.13.30;13.08;899;913;01.02;47;34.00.00;2,680613426;1,48119213;18.466.525;;
01.13.40;18.00;1169;1190;01.02;47;38.08.00;1,520891204;20.933.70;17.328.499;;
01.13.50;15.08;1027;1063;01.04;44;32.06.00;2,534780093;20.932.93;18.137.493;;
01.14.00;18.03;1189;1233;01.04;50;36.05.00;2,513946759;1,481261574;18.058.680;;
01.14.10;18.02;1182;1230;01.04;51;40.04.00;1,833391204;1,481342593;17.998.637;;
01.14.20;20.04;1325;1371;01.03;60;54.09.00;0,632002315;20.932.96;18.109.676;;
01.14.30;19.05;1269;1322;01.04;56;48.02.00;1,138946759;20.932.98;18.109.277;;
01.14.40;15.01;984;1035;01.05;46;32.07.00;2,972280093;1,481215278;18.517.199;;
01.14.50;13.09;903;954;01.06;46;28.00.00;4,382002315;20.932.67;18.416.613;;
01.15.00;11.02;725;763;01.05;33;33.01.00;6,923668981;20.932.93;18.165.300;;
01.15.10;10.04;676;726;01.07;30;27.03.00;0,847280093;20.932.93;18.204.962;;
01.15.20;07.00;454;491;01.08;20;25.07.00;5,395891204;1,481412037;18.023.326;;
01.15.30;10.05;682;701;01.03;27;22.07;1,513946759;1,481296296;18.054.955;;
01.15.40;06.04;419;425;01.01;18;22.06;5,527835648;20.932.97;18.043.020;;
01.15.50;04.09;320;314;0,068055556;13;21.09;4,277835648;20.932.98;17.972.286;485;ｫ-15
01.16.00;04.06;298;279;0,065277778;12;19.02;4,486168981;20.932.88;17.952.107;369;17
01.16.10;05.09;382;347;0,063194444;16;22.07;4,888946759;20.932.79;17.972.691;419;57
01.16.20;06.00;392;359;0,063888889;15;20.01;5,326446759;20.932.98;17.782.765;448;52
01.16.30;06.04;417;388;0,064583333;17;19.08;5,847280093;20.932.95;17.862.956;518;41
01.16.40;05.09;380;346;0,063194444;16;17.07;6,138946759;20.932.83;17.942.678;420;55
01.16.50;08.02;530;466;0,061111111;22;26.06.00;5,763946759;20.932.72;17.973.720;506;126
01.17.00;06.05;422;353;0,058333333;15;17.04;6,132002315;20.932.92;17.612.924;289;138
01.17.10;06.01;396;328;0,057638889;15;21.00;4,81255787;20.932.87;17.642.738;249;136
01.17.20;06.01;396;329;0,057638889;15;21.04;4,743113426;20.932.89;17.642.738;259;132
01.17.30;06.04;415;354;0,059027778;15;18.08;5,715335648;20.932.93;17.662.888;322;120
01.17.40;05.02;338;298;0,061111111;13;17.09;5,034780093;20.932.95;17.712.360;316;67
01.17.50;05.01;329;295;0,0625;13;19.06;4,611168981;20.932.89;17.832.307;331;55
01.18.00;04.04;284;258;0,063194444;12;18.07;4,388946759;20.932.79;17.981.989;303;34
01.18.10;05.06;362;329;0,063194444;15;22.08;4,666724537;20.932.76;18.012.545;400;50
01.18.20;05.02;341;313;0,063888889;14;21.03;4,618113426;20.932.84;17.942.402;389;39
01.18.30;05.01;334;313;0,065277778;14;21.05;4,576446759;20.932.87;17.972.362;416;23
01.18.40;05.01;332;319;0,066666667;15;22.06;4,534780093;20.932.79;18.132.358;465;2
01.18.50;05.00;327;314;0,066666667;15;21.09;4,694502315;20.932.72;18.172.327;453;4
01.19.00;04.07;307;285;0,064583333;14;23.00;4,236168981;1,481238426;18.262.163;369;23
01.19.10;05.03;343;312;0,063194444;15;20.05;5,013946759;20.932.70;18.072.414;374;47
01.19.20;04.09;318;283;0,061805556;14;21.04;4,604224537;20.932.62;18.112.224;310;55
01.19.30;05.09;381;338;0,061805556;17;21.01;5,430613426;1,481111111;18.262.669;370;76
01.19.40;02.03;147;130;0,061111111;6;05.06;1,069502315;1,481238426;18.121.010;117;12
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
